# mH (GeV) 	H → bb 	H → ττ 	H → μμ 	H → ss 	H → cc 	H → tt   H → gg 	H → γγ 	H → Zγ 	H → WW 	H → ZZ 	Total ΓH (GeV) 
# https://twiki.cern.ch/twiki/bin/view/LHCPhysics/CERNYellowReportPageBR
# arXiv:1101.0593 Table 26
# CW 2014-12-01
138.0 	3.49E-01 	3.93E-02 	1.36E-04 	2.66E-04 	1.62E-02 	0.00E+00  6.39E-02 	2.02E-03 	2.41E-03 	4.63E-01 	6.37E-02 	7.23E-03
138.5 	3.40E-01 	3.83E-02 	1.33E-04 	2.59E-04 	1.58E-02 	0.00E+00  6.28E-02 	2.00E-03 	2.43E-03 	4.73E-01 	6.51E-02 	7.44E-03
139.0 	3.31E-01 	3.73E-02 	1.29E-04 	2.52E-04 	1.54E-02 	0.00E+00  6.16E-02 	1.98E-03 	2.44E-03 	4.83E-01 	6.64E-02 	7.66E-03
139.5 	3.22E-01 	3.63E-02 	1.26E-04 	2.45E-04 	1.49E-02 	0.00E+00  6.05E-02 	1.96E-03 	2.45E-03 	4.93E-01 	6.77E-02 	7.89E-03
140.0 	3.14E-01 	3.54E-02 	1.23E-04 	2.39E-04 	1.45E-02 	0.00E+00  5.93E-02 	1.93E-03 	2.46E-03 	5.03E-01 	6.90E-02 	8.14E-03
141.0 	2.96E-01 	3.35E-02 	1.16E-04 	2.26E-04 	1.37E-02 	0.00E+00  5.69E-02 	1.89E-03 	2.48E-03 	5.23E-01 	7.15E-02 	8.66E-03
142.0 	2.79E-01 	3.16E-02 	1.10E-04 	2.13E-04 	1.29E-02 	0.00E+00  5.44E-02 	1.84E-03 	2.49E-03 	5.43E-01 	7.38E-02 	9.24E-03
143.0 	2.63E-01 	2.97E-02 	1.03E-04 	2.00E-04 	1.22E-02 	0.00E+00  5.20E-02 	1.78E-03 	2.50E-03 	5.63E-01 	7.59E-02 	9.89E-03
144.0 	2.46E-01 	2.79E-02 	9.69E-05 	1.87E-04 	1.14E-02 	0.00E+00  4.95E-02 	1.73E-03 	2.49E-03 	5.83E-01 	7.78E-02 	1.06E-02
145.0 	2.30E-01 	2.61E-02 	9.07E-05 	1.75E-04 	1.07E-02 	0.00E+00  4.69E-02 	1.67E-03 	2.48E-03 	6.02E-01 	7.94E-02 	1.14E-02
146.0 	2.15E-01 	2.44E-02 	8.47E-05 	1.63E-04 	9.95E-03 	0.00E+00  4.44E-02 	1.62E-03 	2.46E-03 	6.21E-01 	8.08E-02 	1.23E-02
147.0 	2.00E-01 	2.27E-02 	7.88E-05 	1.52E-04 	9.24E-03 	0.00E+00  4.19E-02 	1.56E-03 	2.44E-03 	6.40E-01 	8.18E-02 	1.33E-02
148.0 	1.85E-01 	2.11E-02 	7.30E-05 	1.41E-04 	8.56E-03 	0.00E+00  3.94E-02 	1.49E-03 	2.40E-03 	6.60E-01 	8.25E-02 	1.45E-02
149.0 	1.70E-01 	1.94E-02 	6.74E-05 	1.29E-04 	7.89E-03 	0.00E+00  3.68E-02 	1.43E-03 	2.36E-03 	6.79E-01 	8.28E-02 	1.58E-02
150.0 	1.56E-01 	1.78E-02 	6.19E-05 	1.19E-04 	7.24E-03 	0.00E+00  3.43E-02 	1.36E-03 	2.31E-03 	6.98E-01 	8.27E-02 	1.73E-02
